f_Hz_Median,ICI,num_Clicks,var_RI
 6624.00,  0.1582642, 10,  0.0000133
 8280.00,  0.2445374, 9,  0.0000126
 6616.00,  0.0737000, 33,  0.0000126
 4120.00,  0.0950928, 14,  0.0000126
 6616.00,  0.1059265, 27,  0.0000137
 7704.00,  0.0616455, 10,  0.0000123
 6608.00,  0.1134644, 20,  0.0000123
 7816.00,  0.0646362, 8,  0.0000086
 6616.00,  0.2547607, 26,  0.0000085
 6608.00,  0.3645630, 14,  0.0000085
 6616.00,  0.1907959, 32,  0.0000085
 6608.00,  0.2070923, 34,  0.0000086
 5088.00,  0.1798096, 23,  0.0000086
 6240.00,  0.1871643, 15,  0.0000121
 5720.00,  0.2133789, 8,  0.0000086
 6240.00,  0.0581055, 12,  0.0000086
 6616.00,  0.2059631, 13,  0.0000123
 6328.00,  0.2362671, 24,  0.0000123
 6616.00,  0.1314392, 93,  0.0000087
 6608.00,  0.1629639, 15,  0.0000121
 6616.00,  0.2100830, 12,  0.0000085
 6616.00,  0.1848755, 36,  0.0000086
 6616.00,  0.1683350, 48,  0.0000122
 6616.00,  0.1467285, 17,  0.0000122
 6608.00,  0.1340942, 74,  0.0000086
 6624.00,  0.1713257, 88,  0.0000087
 6608.00,  0.2597046, 28,  0.0000124
 6608.00,  0.1170044, 10,  0.0000124
 6048.00,  0.1456299, 12,  0.0000124
 6616.00,  0.1683960, 12,  0.0000124
 6616.00,  0.0682373, 39,  0.0000087
 6064.00,  0.0827026, 26,  0.0000088
 6608.00,  0.0501709, 320,  0.0000088
 6520.00,  0.0238953, 125,  0.0000131
 6640.00,  0.1244507, 16,  0.0000131
 6248.00,  0.3348389, 8,  0.0000116
 6120.00,  0.0663147, 19,  0.0000156
 6064.00,  0.1047058, 9,  0.0000158
 6608.00,  0.1354980, 93,  0.0000158
 6184.00,  0.1555786, 22,  0.0000121
 6152.00,  0.1168213, 11,  0.0000152
 6624.00,  0.0956421, 29,  0.0000118
 6216.00,  0.1130066, 9,  0.0000120
 6624.00,  0.2268677, 28,  0.0000160
 6088.00,  0.1698914, 17,  0.0000160
 6248.00,  0.0716248, 731,  0.0000129
 6112.00,  0.1497803, 49,  0.0000142
 6608.00,  0.1940918, 17,  0.0000137
 6320.00,  0.0863342, 109,  0.0000175
 5888.00,  0.1149597, 9,  0.0000179
 6184.00,  0.0695190, 170,  0.0000179
 6624.00,  0.0555420, 311,  0.0000131
 6624.00,  0.1270142, 12,  0.0000164
 6624.00,  0.1318359, 66,  0.0000164
 5848.00,  0.0980225, 82,  0.0000161
 6640.00,  0.0473633, 97,  0.0000125
 4728.00,  0.0488281, 62,  0.0000121
 6632.00,  0.1835632, 11,  0.0000121
 4928.00,  0.1313782, 11,  0.0000121
